Round,Bloon Type,Is Regrow,Is Fortified,Is Camo,Is Phayze,Count,Start Time,Duration
0,Red,False,False,False,False,35,0,19
1,Red,False,False,False,False,25,0,12
1,Blue,False,False,False,False,18,7.9,2.5
1,Red,False,False,False,False,10,14.51,2.8
2,Green,False,False,False,False,4,0,1.71
2,Red,False,False,False,False,15,5.33,5
2,Blue,False,False,False,False,15,10.8,7.9
3,Blue,False,False,False,False,10,0,5.42
3,Green,False,False,False,False,2,6.42,0.57
3,Red,False,False,False,False,10,9.03,1.97
3,Green,False,False,False,False,12,13.272,10.6
4,Blue,False,False,False,False,20,0,11.6
4,Blue,False,False,False,False,15,11.6,7
4,Blue,False,False,False,False,22,18.6,3.987
5,Green,False,False,False,False,10,0,5.13
5,Blue,False,False,False,False,15,5.7,6.07
5,Yellow,False,False,False,False,5,14.27,3.1166
6,Red,False,False,False,False,31,0,17.13
6,Blue,False,False,False,False,10,6.46,1.38
6,Green,False,False,False,False,5,10.34,1.3874
6,Yellow,False,False,False,False,4,14.22,0.95
6,Pink,False,False,False,False,5,16.1,1.554
7,Green,False,False,False,False,20,0,10.849
7,Yellow,False,False,False,False,8,14.59,1.43333
7,Green,False,False,False,False,20,0.2,10.849
8,Green,False,False,False,False,30,0,12.5
8,Green,False,False,False,False,20,12.5,1.81667
9,Black,False,False,False,False,6,0,5.24583
10,White,False,False,False,False,25,0,8
11,Green,False,False,True,False,1,0,1
11,Blue,False,False,False,False,60,0,10
12,Pink,False,False,False,False,23,0,8.7
12,Zebra,False,False,False,False,12,9.08333,3.426
13,Lead,False,False,False,False,14,0,5
14,Black,False,False,False,False,8,0,5.08529
14,White,False,False,False,False,8,0.35,5.08529
14,Zebra,False,False,False,False,8,6.16,5.0853
14,Zebra,True,False,False,False,2,14.2,1.713
15,Black,False,False,False,False,15,0,9
15,White,False,False,False,False,20,10.34,11
15,Purple,False,False,False,False,20,21.96,6
16,Yellow,False,False,False,False,160,0,27
16,Rainbow,False,False,False,False,18,8.62,18.0833
17,Pink,False,False,False,False,40,0,1.5125
17,Pink,False,False,False,False,40,8.49,1.34583
17,Pink,False,False,False,False,60,16.99,4
17,Green,True,False,True,False,10,4.01,1.34583
17,Green,True,False,True,False,10,12.67,1.34583
18,White,False,False,False,False,17,0,3.59583
18,Lead,False,False,False,False,25,4.83333,8.565
18,Zebra,False,False,False,False,20,12.0875,6.281
18,Ceramic,False,False,False,False,12,21.06,4
18,Pink,False,False,False,False,42,2,23.411
19,MOAB,False,False,False,False,1,0,1
20,Rainbow,False,False,False,False,30,0,5
20,Rainbow,False,False,False,True,5,6.4,1.25
20,Rainbow,False,False,True,False,15,6.6,3.75
21,Rainbow,False,False,False,False,10,0,10
21,Rainbow,False,False,False,False,10,9.91667,7
21,Rainbow,False,False,False,False,10,16.8333,4
21,Rainbow,False,False,False,False,10,20.75,2
21,Rainbow,False,False,False,False,10,22.6667,1
22,Ceramic,False,True,False,False,10,0,7
23,Pink,True,False,False,False,20,0,3
23,Rainbow,False,False,False,False,40,18.54,20
23,Ceramic,False,True,False,False,6,39.72,4
23,Purple,True,False,True,False,60,3.29,15
24,MOAB,False,False,False,False,1,0,1
24,MOAB,False,False,False,False,1,27.9789,1
24,Lead,False,True,False,False,20,3.06,6
24,Red,False,False,False,False,20,9.887,1.345
24,Ceramic,False,False,False,False,20,16.559,10.849
25,Rainbow,False,False,False,False,25,0,13.704
25,MOAB,False,False,False,False,1,14.2749,1
25,MOAB,False,False,False,False,1,17.701,1
25,Ceramic,False,False,False,False,5,14.846,2.2844
25,Ceramic,False,False,False,False,5,18.272,2.2839
26,Ceramic,False,False,False,True,10,0,5.5
26,Ceramic,False,False,False,False,25,6.3,13.75
26,MOAB,False,False,False,False,1,8,1
26,MOAB,False,False,False,False,1,15,1
27,Rainbow,False,False,True,False,40,0,12
27,MOAB,False,False,False,False,1,15.1791,1
28,MOAB,False,False,False,False,5,0,43.9833
28,Ceramic,False,False,False,False,15,0,22
28,Ceramic,False,True,False,False,10,23.53,20
29,BFB,False,False,False,False,1,0,1
30,MOAB,False,False,False,False,5,1.08333,20
30,Purple,False,False,False,False,250,0,40
30,Rainbow,False,False,True,False,15,40.3,7.994
30,MOAB,False,True,False,False,2,32.14,5
31,MOAB,False,False,False,False,6,0,4
31,MOAB,False,True,False,False,3,5.53,4
32,MOAB,False,False,False,False,2,0,0.5
32,MOAB,False,False,False,True,2,7,0.5
32,MOAB,False,False,False,False,4,13.9167,1
32,MOAB,False,True,False,False,3,20.75,2
33,MOAB,False,False,False,False,4,0,1.713
33,BFB,False,False,False,False,1,7.44166,1
34,Rainbow,False,False,False,False,200,0,40
34,MOAB,False,False,False,False,4,40,1.142
34,White,True,False,True,False,120,0,38
35,BFB,False,False,False,False,1,3.41666,0.5
35,BFB,False,False,False,False,1,16.1167,0.5
35,Ceramic,True,False,False,False,38,0,21.698
36,Ceramic,False,False,False,False,50,0,20
36,Ceramic,False,True,False,False,60,54.86,27.525
36,BFB,False,False,False,False,1,43.93,0.5
36,Ceramic,True,True,True,False,25,21.14,20
37,MOAB,False,False,False,False,11,0,58.9208
37,BFB,False,False,False,False,5,26.6667,4.55417
38,Rainbow,False,False,False,False,150,0,90
38,Ceramic,False,False,False,False,75,10,1.1666
38,Ceramic,False,False,True,False,72,77.9167,1.20416
38,BFB,False,False,False,False,1,44.0833,1.713
38,Purple,False,False,False,False,80,64.4,15
39,ZOMG,False,False,False,False,1,0,2
40,BFB,False,True,False,False,5,21.68,14
40,BFB,False,False,False,False,10,0,20
40,MOAB,False,False,False,True,8,0,25
41,MOAB,False,False,False,False,40,0,25
41,BFB,False,False,False,False,10,5,20
42,BFB,False,True,False,False,5,0,21
43,BFB,False,False,False,False,7,0,4.35
43,BFB,False,False,False,True,1,5.2,1
43,MOAB,False,False,False,False,18,5.84,5
43,ZOMG,False,False,False,False,2,11.55,3
44,Lead,True,True,True,False,50,0,10
44,DDT,False,False,False,False,3,10.4,1.5
45,MOAB,False,True,False,False,25,0,17.5
45,MOAB,False,True,False,True,25,18.2,17.5
45,ZOMG,False,False,False,False,4,12.96,6
46,BFB,False,False,False,False,25,0,15
46,ZOMG,False,False,False,False,6,1.61,13
47,BFB,False,False,False,False,10,0,5
47,MOAB,False,True,False,False,20,5.5,5
47,MOAB,False,True,False,False,20,16.04,5
47,BFB,False,False,False,False,10,10.74,5
47,BFB,False,False,False,False,10,21.62,5
47,ZOMG,False,False,False,False,6,27.12,5
48,BFB,False,True,False,False,30,0,30
48,ZOMG,False,False,False,False,8,0,5
49,BAD,False,False,False,False,1,0,0.1
